student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
10944,17,female,ba,7.83,79.4,yes,4.1,poor,self-study,high,moderate,62.3
11918,22,male,b.tech,4.62,50.8,yes,7.2,average,online videos,medium,hard,48.3
14558,21,female,b.com,3.91,53.5,yes,9.1,good,online videos,high,hard,67.9
564,18,other,ba,4.29,85.8,yes,6.7,poor,coaching,high,easy,56.1
6820,17,male,diploma,2.56,96.6,yes,6.9,average,group study,high,easy,83.2
9774,17,female,bba,2.2,98.4,yes,8.5,good,online videos,high,easy,71.9
18334,21,other,b.sc,5.59,58.9,yes,5.2,good,coaching,low,moderate,77.6
9725,19,male,b.tech,5.37,99.4,yes,9.5,average,mixed,high,moderate,84.5
18429,17,female,diploma,3.41,78.0,no,5.4,good,online videos,low,moderate,54.5
14936,18,female,b.tech,0.09,65.1,yes,7.4,poor,mixed,high,hard,51.6
5836,23,other,b.sc,2.98,49.1,yes,4.6,good,mixed,low,hard,46.1
17828,20,other,b.tech,5.37,80.3,yes,9.9,good,mixed,high,easy,98.6
18046,24,female,bba,0.64,81.8,yes,5.0,average,self-study,low,moderate,32.4
1519,20,male,b.com,4.21,66.5,yes,8.9,average,mixed,high,easy,71.6
9915,21,other,b.com,1.1,98.1,no,5.6,good,mixed,low,easy,43.8
16377,20,male,b.com,3.75,40.7,no,4.1,average,online videos,medium,moderate,38.8
1934,24,female,bba,5.46,57.5,yes,6.3,poor,self-study,low,moderate,54.7
6952,20,female,b.sc,7.13,98.5,yes,9.0,good,self-study,low,hard,100.0
1795,20,male,diploma,5.61,89.9,yes,9.2,average,online videos,high,moderate,62.0
1201,24,male,b.sc,6.4,73.8,yes,7.5,good,group study,high,moderate,71.8
7699,17,male,bba,4.86,57.6,yes,5.6,average,coaching,medium,moderate,73.9
4405,19,female,b.tech,6.36,43.8,yes,4.7,poor,mixed,medium,moderate,66.7
10892,19,female,bba,5.42,56.2,yes,5.5,average,group study,low,easy,55.0
10182,20,male,ba,2.52,77.0,yes,7.6,poor,online videos,low,moderate,42.9
15001,17,other,bba,5.49,53.4,yes,8.3,average,self-study,high,moderate,43.4
18584,23,other,b.tech,3.41,55.0,no,6.7,average,coaching,low,easy,63.2
13055,19,other,diploma,2.81,47.0,yes,4.2,poor,coaching,low,easy,60.1
18229,17,female,bba,5.52,68.2,yes,8.7,poor,coaching,medium,easy,81.3
8300,20,other,bba,1.75,68.8,no,9.0,average,online videos,low,moderate,54.5
16249,24,other,b.com,7.71,61.3,yes,8.0,average,coaching,medium,easy,80.9
2273,19,other,bba,6.69,90.8,yes,8.6,poor,online videos,high,hard,95.2
7526,17,male,bba,2.82,54.6,yes,6.3,good,online videos,low,hard,45.3
2117,24,female,ba,4.02,82.2,no,7.9,poor,online videos,high,moderate,65.8
9747,18,other,ba,5.96,86.1,yes,6.7,good,group study,high,easy,87.2
9700,23,male,b.sc,2.61,51.6,yes,8.5,good,group study,medium,easy,34.6
10275,18,other,bba,0.82,85.4,yes,5.8,average,online videos,medium,easy,34.9
6232,22,other,diploma,7.47,74.8,yes,9.2,average,coaching,low,easy,78.0
1053,21,other,b.com,6.54,78.2,yes,6.4,good,group study,medium,easy,82.4
18579,18,male,ba,0.99,51.8,yes,7.1,poor,online videos,high,hard,45.6
14424,23,other,b.com,7.82,73.6,yes,8.3,poor,coaching,low,moderate,89.6
15920,24,female,b.sc,5.23,83.4,yes,9.7,average,group study,low,hard,70.2
16029,18,other,b.com,6.48,87.6,yes,9.4,poor,online videos,high,easy,87.8
4164,18,other,b.tech,3.89,84.6,yes,4.4,average,coaching,low,easy,66.1
14763,21,male,b.com,5.88,49.1,yes,7.8,good,self-study,low,easy,64.7
8313,20,female,b.com,5.61,67.8,yes,9.9,average,self-study,high,hard,84.5
15830,24,female,ba,6.24,95.4,yes,8.5,good,self-study,low,moderate,83.2
11073,20,female,bca,4.45,54.7,yes,5.2,good,online videos,low,moderate,53.1
16052,20,other,bba,2.46,48.8,yes,7.7,good,self-study,low,moderate,31.9
4857,23,male,b.sc,0.61,74.6,yes,6.2,average,self-study,medium,moderate,49.4
8267,18,female,ba,5.59,76.5,yes,9.9,poor,mixed,low,moderate,75.9
9988,19,female,b.tech,1.61,84.2,yes,5.4,average,mixed,high,moderate,52.0
5910,21,other,ba,5.65,65.9,no,9.9,average,mixed,low,moderate,70.6
7569,19,male,b.sc,1.3,82.2,yes,8.6,good,coaching,medium,easy,67.3
19501,18,female,diploma,3.6,89.8,yes,9.3,good,self-study,high,moderate,88.6
19241,17,other,b.tech,0.55,54.9,yes,9.3,good,coaching,high,moderate,55.4
5458,20,female,b.sc,1.87,72.4,yes,6.6,good,coaching,low,easy,54.2
19998,18,male,b.com,3.71,41.6,no,5.9,average,coaching,medium,moderate,60.9
9722,21,male,bba,6.43,77.3,no,7.2,poor,mixed,medium,moderate,82.7
3322,18,other,ba,0.57,78.1,yes,5.1,average,coaching,medium,moderate,59.1
14610,21,other,b.tech,3.73,82.3,yes,7.9,good,mixed,medium,easy,81.7
753,17,other,bba,3.97,40.6,no,5.4,average,coaching,medium,easy,49.7
10344,22,other,b.com,4.72,91.0,yes,9.9,poor,mixed,medium,easy,84.6
10676,22,male,diploma,6.95,88.4,yes,9.4,poor,group study,high,hard,91.3
4911,24,other,b.sc,2.4,64.2,yes,9.7,poor,mixed,high,moderate,46.1
16343,22,female,b.sc,2.14,62.7,yes,9.3,average,group study,medium,moderate,55.7
13551,21,male,b.com,4.8,84.2,yes,9.2,good,group study,medium,moderate,78.4
6194,17,male,bca,5.63,75.2,yes,5.0,average,self-study,low,easy,68.3
5067,21,male,bca,5.78,79.4,yes,4.4,average,online videos,medium,moderate,75.8
3780,20,male,diploma,5.93,66.2,yes,6.7,good,mixed,high,moderate,80.1
14448,18,male,bba,0.08,43.6,yes,8.4,poor,mixed,high,hard,20.0
14505,19,male,bca,7.14,74.8,yes,5.7,poor,group study,high,easy,76.8
11905,21,other,ba,4.76,88.5,yes,5.5,average,online videos,high,moderate,81.1
7426,24,other,bba,0.3,87.4,yes,8.2,good,self-study,low,moderate,48.9
8115,19,female,b.sc,1.31,49.2,yes,7.9,poor,coaching,medium,easy,39.5
14729,20,female,b.tech,7.02,54.8,no,4.2,good,mixed,medium,moderate,90.6
3452,17,male,b.tech,0.33,77.0,yes,7.8,average,self-study,medium,moderate,29.1
11376,18,male,bca,0.81,46.0,yes,9.9,poor,group study,medium,moderate,32.1
10074,24,other,ba,1.41,49.5,yes,9.7,poor,self-study,medium,moderate,19.599
2937,23,male,diploma,1.59,95.3,yes,7.8,good,mixed,high,hard,56.6
19939,18,other,b.sc,0.11,44.5,yes,8.3,average,self-study,low,moderate,22.7
1242,23,female,b.com,1.38,86.9,no,8.8,good,group study,high,moderate,70.4
8349,22,other,b.com,6.24,63.3,no,7.2,good,group study,high,moderate,85.3
6642,17,male,ba,6.1,88.9,yes,9.4,poor,mixed,high,easy,74.6
8590,23,female,bba,6.3,45.9,yes,6.7,good,self-study,medium,hard,81.8
15145,21,female,bca,5.41,95.0,yes,6.1,average,coaching,medium,hard,86.5
1176,19,other,bba,3.08,48.5,yes,6.7,average,coaching,high,moderate,58.2
17789,18,male,ba,0.46,93.1,yes,4.3,poor,mixed,low,easy,58.2
16863,18,male,b.tech,3.03,73.2,yes,8.1,average,online videos,low,easy,62.9
14411,24,female,ba,3.49,78.9,yes,8.6,good,mixed,low,easy,70.3
19172,23,female,b.com,6.66,65.8,yes,9.7,good,self-study,high,hard,95.0
16298,23,other,b.sc,6.01,78.2,yes,6.2,good,mixed,high,moderate,71.7
6059,22,other,b.com,5.06,67.5,yes,9.4,good,group study,high,moderate,65.4
8318,20,other,bba,0.56,97.2,yes,5.7,poor,online videos,medium,easy,26.3
1847,20,female,ba,3.59,45.5,yes,7.7,average,self-study,medium,moderate,42.4
10524,21,other,b.tech,4.41,40.6,yes,4.1,poor,coaching,low,hard,54.9
10526,18,female,bba,2.96,76.1,yes,6.7,average,coaching,low,moderate,57.6
3252,22,male,b.com,3.13,84.0,yes,6.5,poor,group study,high,moderate,36.4
15526,19,other,diploma,0.34,93.3,yes,5.7,average,self-study,high,moderate,41.4
238,20,female,b.com,7.9,73.4,yes,7.8,poor,self-study,medium,moderate,89.0
643,23,other,bba,7.84,91.3,yes,6.7,good,coaching,high,moderate,100.0
506,20,other,b.com,0.54,45.7,yes,7.6,poor,coaching,high,easy,23.1
15765,17,other,diploma,1.45,70.2,yes,9.0,average,mixed,high,moderate,56.9
17548,23,female,ba,6.3,55.2,yes,7.7,poor,online videos,high,moderate,66.6
16170,18,other,diploma,6.65,63.3,yes,4.8,good,mixed,high,moderate,92.6
11257,17,other,b.sc,4.11,79.3,yes,9.9,poor,self-study,high,easy,81.5
2814,24,other,ba,0.91,96.2,yes,6.7,poor,group study,medium,moderate,39.6
19563,23,female,b.com,7.89,67.0,yes,4.6,good,online videos,medium,moderate,75.3
13491,19,other,b.sc,5.68,83.4,yes,9.5,good,mixed,low,moderate,89.4
2258,22,male,ba,4.89,92.9,yes,5.2,poor,coaching,low,moderate,76.3
11942,20,male,b.sc,6.11,81.6,yes,7.7,average,group study,low,moderate,62.9
14598,24,male,ba,1.22,54.0,yes,8.6,poor,online videos,low,easy,39.1
17399,18,other,bba,2.51,87.1,yes,8.6,good,self-study,high,easy,74.7
19160,17,male,ba,6.15,81.4,yes,6.4,good,self-study,medium,easy,82.5
13761,24,male,b.sc,1.31,82.2,yes,6.9,poor,coaching,high,moderate,71.1
8001,22,male,b.sc,3.46,66.8,yes,9.6,average,online videos,low,moderate,64.2
4767,21,other,ba,3.24,76.6,yes,4.6,good,group study,low,moderate,53.2
7509,22,female,diploma,1.59,57.0,yes,5.1,good,coaching,high,easy,70.4
10016,22,other,bca,4.87,62.2,yes,5.4,poor,group study,medium,hard,75.7
19192,20,other,bba,2.65,77.3,yes,9.8,good,group study,high,easy,66.6
15739,22,female,b.tech,1.82,93.1,yes,6.2,poor,online videos,low,hard,45.7
7750,24,female,b.com,6.64,48.5,yes,6.2,average,coaching,medium,easy,77.8
4111,17,other,ba,1.46,54.5,yes,8.5,poor,group study,high,hard,43.2
11302,24,female,bca,4.09,41.5,yes,5.0,good,online videos,low,moderate,37.2
6506,19,female,b.tech,7.91,70.7,yes,7.3,good,online videos,high,hard,93.5
11805,22,other,bba,3.64,59.0,yes,4.8,poor,online videos,high,moderate,49.3
13980,17,other,ba,5.31,80.4,yes,8.7,poor,group study,high,hard,83.0
9259,18,other,ba,4.5,75.8,no,4.9,good,online videos,high,hard,76.2
13457,18,female,b.tech,2.26,95.0,yes,4.1,poor,mixed,low,easy,48.2
7323,24,male,bca,4.08,85.8,yes,8.1,poor,self-study,high,hard,66.8
12512,24,male,b.sc,4.55,48.6,yes,7.2,average,online videos,medium,moderate,72.8
14841,18,male,bba,2.32,59.6,no,8.0,average,group study,medium,hard,44.3
3060,19,female,bba,7.56,94.6,yes,5.6,average,online videos,medium,moderate,100.0
5469,21,male,ba,0.55,73.2,yes,6.5,good,group study,high,moderate,48.9
3625,23,other,ba,0.39,44.3,no,9.9,poor,online videos,medium,moderate,37.9
9083,18,male,b.tech,1.32,91.5,yes,5.3,good,mixed,high,moderate,66.0
3151,22,other,diploma,3.25,68.5,yes,8.0,good,online videos,medium,moderate,35.3
11640,20,other,ba,6.96,83.6,no,4.6,average,self-study,high,hard,89.2
10331,19,female,b.sc,5.03,85.7,no,6.8,average,coaching,low,easy,62.1
18248,19,male,b.sc,2.3,58.6,yes,5.5,poor,group study,high,moderate,37.4
8413,18,other,ba,2.73,56.9,no,9.3,good,coaching,medium,moderate,62.3
14126,19,other,b.com,1.26,49.5,yes,9.0,good,group study,high,moderate,62.6
15737,23,male,b.sc,0.79,42.5,yes,4.1,poor,online videos,high,moderate,24.0
16812,23,other,b.sc,3.45,54.1,no,9.3,good,group study,low,easy,41.5
8627,23,male,ba,1.27,41.1,yes,4.2,average,self-study,low,moderate,30.7
14100,19,male,b.com,6.35,88.7,yes,9.7,poor,self-study,low,moderate,86.9
3029,18,other,bba,7.43,78.0,no,7.0,poor,online videos,high,moderate,80.2
9507,18,female,b.com,5.66,82.6,yes,9.0,poor,self-study,high,easy,89.2
8414,18,other,ba,5.79,44.6,yes,5.9,poor,coaching,low,moderate,57.2
15681,24,male,diploma,4.16,69.9,yes,9.3,poor,mixed,low,hard,74.6
19898,22,female,b.tech,6.12,99.2,yes,6.5,average,mixed,low,easy,85.4
5758,21,female,diploma,1.62,71.3,yes,4.5,average,group study,medium,moderate,32.1
7050,21,male,diploma,0.08,43.1,yes,6.4,average,group study,low,easy,31.1
16672,22,female,ba,4.02,58.3,no,6.5,good,coaching,low,moderate,67.1
14468,19,other,ba,5.49,89.8,yes,7.4,good,online videos,medium,easy,86.8
6376,23,male,bca,4.74,72.9,yes,9.1,poor,mixed,high,moderate,61.2
6567,17,male,ba,4.22,50.3,yes,4.5,average,online videos,low,moderate,47.5
171,17,female,b.com,1.67,64.1,yes,6.6,good,self-study,medium,moderate,53.5
912,18,other,bba,3.3,98.4,yes,8.1,poor,coaching,high,moderate,80.0
8819,23,male,b.sc,7.87,85.7,yes,5.7,average,coaching,low,moderate,100.0
7080,19,other,bca,0.17,82.5,yes,4.5,average,mixed,high,moderate,57.7
11698,17,other,diploma,7.57,45.5,yes,8.4,good,coaching,medium,moderate,85.1
10165,20,other,ba,4.46,99.0,yes,4.5,poor,group study,low,moderate,56.7
6494,19,other,bca,5.12,68.5,yes,9.2,average,online videos,high,easy,79.6
13111,18,female,b.com,1.57,56.9,yes,9.8,poor,group study,medium,moderate,58.5
994,20,female,diploma,2.74,91.9,yes,8.5,poor,group study,high,moderate,63.9
3470,23,other,diploma,6.47,40.6,yes,7.7,average,self-study,low,moderate,67.7
551,23,male,b.sc,3.32,81.3,yes,8.2,average,coaching,high,moderate,68.2
14339,20,female,b.sc,5.85,82.7,no,7.7,average,mixed,low,hard,72.1
13970,19,female,diploma,5.11,58.3,yes,5.4,poor,coaching,medium,easy,68.3
17954,17,male,diploma,2.59,86.8,yes,7.0,average,self-study,high,moderate,51.9
2840,24,other,diploma,5.83,93.7,yes,5.1,average,mixed,low,moderate,81.5
2237,18,male,diploma,5.82,76.9,yes,5.5,poor,self-study,medium,hard,65.6
18829,20,female,bca,3.19,62.1,no,4.1,average,mixed,low,easy,45.0
6115,18,male,b.com,4.89,71.3,yes,9.9,good,mixed,low,easy,77.9
8167,17,female,b.tech,4.2,85.0,yes,8.9,poor,group study,medium,hard,79.9
10375,22,other,diploma,5.18,57.5,yes,9.4,average,group study,high,hard,69.6
16099,20,female,b.tech,6.74,55.1,no,4.4,average,mixed,medium,moderate,59.5
11447,22,other,ba,2.71,82.6,yes,5.5,poor,mixed,low,easy,52.6
8612,18,female,b.sc,4.89,90.2,yes,6.2,good,coaching,medium,easy,90.5
2720,18,male,b.tech,7.69,67.7,yes,4.4,good,group study,low,moderate,78.5
7815,20,female,b.sc,7.91,73.4,yes,8.2,poor,mixed,high,moderate,76.1
12199,20,male,bca,1.0,44.3,no,6.9,poor,group study,low,easy,19.599
588,17,female,b.tech,3.01,41.8,yes,6.0,good,group study,low,moderate,43.6
7056,18,male,b.com,1.47,82.6,yes,4.6,average,self-study,low,easy,42.5
13695,17,female,b.tech,7.9,90.3,no,8.3,average,group study,high,moderate,96.4
18132,21,other,ba,7.12,79.5,yes,6.8,average,coaching,low,easy,88.7
15048,18,female,b.com,1.67,82.7,yes,8.0,good,self-study,low,easy,58.4
7206,21,female,ba,1.12,72.5,yes,5.3,poor,online videos,high,moderate,26.8
2837,24,other,b.tech,2.12,49.9,yes,9.3,poor,self-study,high,hard,36.4
4076,17,female,diploma,2.84,91.6,yes,9.6,poor,coaching,low,moderate,60.8
10768,18,other,b.tech,2.52,83.6,yes,6.8,poor,self-study,high,moderate,53.8
2194,18,male,diploma,0.98,53.7,no,6.6,poor,online videos,low,hard,44.9
15369,23,female,ba,0.08,53.9,yes,9.7,good,mixed,medium,moderate,59.3
15728,20,female,ba,2.92,83.4,no,9.2,good,self-study,medium,moderate,69.3
14933,22,female,bca,5.02,42.8,yes,4.4,good,online videos,low,easy,53.5
17013,19,other,bca,5.76,42.3,no,4.8,good,mixed,high,moderate,86.1
2558,23,female,ba,1.46,72.1,no,7.2,average,mixed,high,moderate,67.3
13612,23,other,b.tech,4.45,94.6,yes,5.7,good,self-study,high,moderate,78.5
6405,23,female,b.tech,3.98,78.7,yes,8.5,good,mixed,medium,moderate,87.7
14860,24,male,bba,2.96,83.1,yes,8.1,average,coaching,high,moderate,81.4
17538,21,other,bba,5.6,91.9,no,8.7,average,group study,medium,moderate,88.1
651,20,female,b.com,4.58,97.4,yes,5.0,poor,group study,high,hard,56.4
2935,23,other,b.com,5.98,66.5,yes,9.4,poor,self-study,high,easy,70.6
13207,20,other,b.com,5.4,64.0,yes,9.2,good,self-study,medium,moderate,80.2
4987,24,other,ba,4.7,84.0,yes,4.8,good,online videos,medium,moderate,60.2
11722,21,female,b.tech,4.81,48.0,yes,7.4,poor,self-study,medium,easy,40.9
6078,18,male,b.tech,5.71,63.6,yes,7.0,good,coaching,low,easy,80.9
6746,23,male,ba,1.82,51.7,yes,6.5,good,mixed,high,hard,71.3
2970,22,male,bba,6.44,43.5,yes,9.9,poor,mixed,medium,hard,66.2
7108,21,other,b.com,2.38,55.0,yes,5.5,good,coaching,medium,easy,53.4
12665,19,male,ba,6.62,83.5,yes,5.6,average,online videos,high,moderate,98.1
3451,20,other,b.sc,6.17,87.7,yes,9.3,good,self-study,medium,easy,95.4
2030,19,other,diploma,2.63,88.7,yes,8.0,average,online videos,high,easy,65.3
12737,20,female,ba,0.51,73.8,yes,9.3,poor,mixed,high,hard,26.1
3710,23,male,b.sc,3.5,77.6,yes,9.0,good,online videos,high,hard,76.5
15965,20,other,bba,5.24,70.3,yes,6.0,poor,online videos,high,easy,78.9
17926,22,other,bba,2.93,81.6,yes,8.9,good,group study,high,easy,80.0
5048,22,male,b.sc,5.92,80.0,yes,7.3,poor,online videos,high,easy,73.5
17806,23,male,ba,1.5,43.7,yes,6.8,poor,group study,low,easy,21.7
13414,18,female,ba,7.43,73.1,yes,6.5,poor,mixed,high,hard,90.0
10882,18,male,b.tech,2.84,75.1,yes,5.7,poor,self-study,medium,easy,48.5
3167,22,other,b.com,2.16,83.7,yes,4.5,good,mixed,high,moderate,78.6
1400,19,other,bba,3.11,57.8,yes,7.0,poor,self-study,high,moderate,49.4
10350,18,male,b.tech,7.75,70.6,yes,8.7,good,coaching,low,moderate,93.0
14623,21,other,bba,6.17,59.5,yes,7.7,average,mixed,high,easy,83.2
1603,23,other,bba,6.12,51.7,yes,7.1,poor,coaching,medium,moderate,45.3
15840,20,female,b.tech,6.75,64.3,yes,5.9,good,self-study,low,moderate,69.4
11000,19,male,bca,6.39,94.1,yes,6.0,good,online videos,high,easy,76.4
3371,24,female,b.sc,4.32,54.7,yes,5.6,average,group study,medium,hard,65.2
9557,23,male,b.com,1.34,43.2,yes,6.9,average,self-study,high,moderate,31.6
11994,21,other,bba,1.44,74.4,no,7.6,poor,mixed,medium,moderate,51.6
14171,22,female,bba,5.6,68.8,yes,6.0,poor,online videos,low,moderate,50.2
9190,18,male,bca,3.66,93.0,yes,7.8,good,group study,high,easy,80.2
9534,22,male,b.com,7.72,71.9,yes,5.5,average,mixed,low,easy,80.9
13509,20,female,diploma,0.5,60.9,yes,6.2,good,self-study,medium,easy,51.7
33,17,other,bca,5.68,46.4,yes,4.1,good,self-study,high,moderate,65.6
13731,19,other,b.sc,0.52,77.4,yes,6.1,average,coaching,high,moderate,61.9
4099,23,female,b.sc,0.33,97.5,yes,5.8,poor,group study,medium,moderate,46.6
3663,24,other,b.tech,4.99,52.7,yes,4.5,poor,self-study,high,moderate,36.5
10913,18,other,bca,7.37,65.9,yes,8.7,good,coaching,high,easy,100.0
18411,23,male,b.tech,2.38,79.5,yes,6.7,poor,mixed,high,hard,63.5
1738,17,other,b.sc,3.48,67.7,yes,7.7,good,self-study,low,hard,31.0
8993,24,male,b.tech,3.86,47.0,yes,7.5,average,group study,low,easy,49.3
5610,17,female,b.sc,5.61,92.6,yes,9.6,average,group study,medium,moderate,64.9
7126,24,other,b.com,7.3,95.6,no,5.0,poor,self-study,high,moderate,86.1
12465,24,female,bca,7.81,44.6,yes,6.3,average,coaching,high,easy,67.0
16983,21,female,b.com,3.5,49.2,yes,7.9,poor,online videos,high,hard,43.0
6141,19,male,diploma,3.89,56.8,yes,6.4,average,group study,low,easy,52.3
19319,21,female,bba,3.24,79.5,yes,8.8,poor,mixed,high,hard,59.2
6770,18,female,diploma,4.9,67.9,yes,6.2,poor,mixed,high,easy,62.7
13402,18,female,b.tech,4.62,92.3,yes,8.2,good,mixed,medium,moderate,100.0
2549,20,female,diploma,4.13,69.1,yes,6.9,average,online videos,high,moderate,80.4
11809,23,other,bba,3.41,79.0,yes,9.9,good,coaching,high,moderate,71.2
11300,18,male,b.com,7.12,58.6,yes,5.0,average,online videos,high,hard,95.3
17289,18,male,b.tech,6.73,66.4,yes,8.2,average,online videos,high,easy,82.2
16958,19,other,bca,0.5,66.8,no,5.8,good,online videos,low,moderate,37.1
17911,22,male,b.com,2.03,41.6,yes,8.9,poor,coaching,medium,hard,31.8
12791,17,male,b.sc,3.21,88.4,yes,9.5,average,self-study,low,moderate,46.5
18326,22,male,bba,3.7,90.3,yes,6.6,average,coaching,high,moderate,99.7
15200,21,female,diploma,3.93,79.5,yes,5.2,good,self-study,low,hard,59.5
16285,19,male,bba,5.12,67.2,yes,6.2,good,coaching,low,moderate,81.6
8210,24,other,bca,6.59,65.4,no,5.2,average,mixed,medium,hard,71.0
11272,22,other,diploma,4.78,61.8,yes,4.1,poor,mixed,high,moderate,56.5
18107,21,male,diploma,2.53,93.9,yes,4.2,average,group study,high,easy,42.4
11707,24,female,bca,2.26,86.7,yes,8.3,average,coaching,high,moderate,76.8
5243,24,other,b.com,2.42,53.9,yes,9.5,average,mixed,medium,hard,44.5
12403,20,female,b.com,2.82,85.7,yes,5.6,average,online videos,high,easy,77.0
15458,21,other,bca,2.43,95.2,yes,9.3,average,coaching,low,hard,75.9
11007,20,male,bca,4.2,76.7,no,6.0,good,group study,high,moderate,70.3
17712,18,female,b.com,5.79,72.0,yes,9.2,good,online videos,medium,moderate,90.9
6331,17,male,bba,5.99,42.6,no,7.6,good,coaching,medium,hard,90.8
5064,22,female,bca,7.64,41.4,yes,5.6,average,self-study,medium,moderate,81.0
